agno;mes;RBD;Establecimiento;Codigo;Enseñanza;Nivel;Letra;Porc_de_Asistencia;Matrícula_cierre_mes;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;B;91%;27;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;C;77%;23;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;3° medio;A;79%;23;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;3° medio;B;81%;24;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;4° medio;A;91%;19;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;4° medio;B;92%;20;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;410;Enseñanza Media Técnico-Profesional Comercial niños;3° medio;C;87%;27;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;410;Enseñanza Media Técnico-Profesional Comercial niños;4° medio;C;82%;25;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;95%;15;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;10;Educación Parvularia;1er nivel de Transición (Prekinder);B;93%;9;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;10;Educación Parvularia;2° nivel de Transición (Kinder);A;95%;21;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;10;Educación Parvularia;2° nivel de Transición (Kinder);B;92%;14;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;1° básico;A;91%;19;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;1° básico;B;90%;18;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;2° básico;A;95%;24;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;2° básico;B;92%;19;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;3° básico;A;94%;22;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;3° básico;B;94%;23;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;4° básico;A;96%;21;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;4° básico;B;93%;18;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;5° básico;A;96%;22;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;5° básico;B;93%;23;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;6° básico;A;95%;21;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;6° básico;B;95%;26;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;7° básico;A;92%;28;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;7° básico;B;94%;27;;;;;;
2025;1.Marzo;10553;Escuela Marcial Martinez Ferrari;110;Enseñanza Básica;8° básico;A;93%;32;;;;;;
