agno,mes,RBD,%Asistencia,Matrícula,RBD_Establecimiento,Enseñanza,Nivel,Letra
2025,1.Marzo,10557,0.91,28,10557 Escuela General Alberto A. Bachelet Martinez,110,8° Básico,A
2025,1.Marzo,10557,0.91,27,10557 Escuela General Alberto A. Bachelet Martinez,110,8° Básico,B
2025,1.Marzo,10558,0.71,9,10558 Escuela Republica De Los Ee.Uu. De America,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10558,0.78,11,10558 Escuela Republica De Los Ee.Uu. De America,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10558,0.88,20,10558 Escuela Republica De Los Ee.Uu. De America,110,1° Básico,A
2025,1.Marzo,10558,0.96,16,10558 Escuela Republica De Los Ee.Uu. De America,110,2° Básico,A
2025,1.Marzo,10558,0.95,20,10558 Escuela Republica De Los Ee.Uu. De America,110,3° Básico,A
2025,1.Marzo,10558,0.91,28,10558 Escuela Republica De Los Ee.Uu. De America,110,4° Básico,A
2025,1.Marzo,10558,0.95,20,10558 Escuela Republica De Los Ee.Uu. De America,110,5° Básico,A
2025,1.Marzo,10558,0.94,18,10558 Escuela Republica De Los Ee.Uu. De America,110,6° Básico,A
2025,1.Marzo,10558,0.88,21,10558 Escuela Republica De Los Ee.Uu. De America,110,7° Básico,A
2025,1.Marzo,10558,0.9,23,10558 Escuela Republica De Los Ee.Uu. De America,110,8° Básico,A
2025,1.Marzo,10559,0.96,18,10559 Escuela Bernardo Leighton,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10559,0.93,23,10559 Escuela Bernardo Leighton,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10559,0.95,31,10559 Escuela Bernardo Leighton,110,1° Básico,A
2025,1.Marzo,10559,0.94,22,10559 Escuela Bernardo Leighton,110,2° Básico,A
2025,1.Marzo,10559,0.93,14,10559 Escuela Bernardo Leighton,110,3° Básico,A
2025,1.Marzo,10559,0.9,13,10559 Escuela Bernardo Leighton,110,4° Básico,A
2025,1.Marzo,10559,0.93,16,10559 Escuela Bernardo Leighton,110,5° Básico,A
2025,1.Marzo,10559,0.94,20,10559 Escuela Bernardo Leighton,110,6° Básico,A
2025,1.Marzo,10559,0.94,21,10559 Escuela Bernardo Leighton,110,7° Básico,A
2025,1.Marzo,10559,0.94,24,10559 Escuela Bernardo Leighton,110,8° Básico,A
2025,1.Marzo,10560,0.91,17,10560 Escuela Javiera Carrera Verdugo,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10560,0.9,25,10560 Escuela Javiera Carrera Verdugo,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10560,0.9,35,10560 Escuela Javiera Carrera Verdugo,110,1° Básico,A
2025,1.Marzo,10560,0.91,31,10560 Escuela Javiera Carrera Verdugo,110,2° Básico,A
